timestamp, index, name, memory.used [MiB]
2025/12/08 17:03:09.559, 0, NVIDIA GeForce RTX 4090, 818 MiB
2025/12/08 17:03:14.560, 0, NVIDIA GeForce RTX 4090, 829 MiB
2025/12/08 17:03:19.560, 0, NVIDIA GeForce RTX 4090, 831 MiB
2025/12/08 17:03:24.560, 0, NVIDIA GeForce RTX 4090, 810 MiB
2025/12/08 17:03:29.561, 0, NVIDIA GeForce RTX 4090, 810 MiB
2025/12/08 17:03:34.561, 0, NVIDIA GeForce RTX 4090, 810 MiB
2025/12/08 17:03:39.562, 0, NVIDIA GeForce RTX 4090, 810 MiB
2025/12/08 17:03:44.562, 0, NVIDIA GeForce RTX 4090, 810 MiB
2025/12/08 17:03:49.562, 0, NVIDIA GeForce RTX 4090, 3289 MiB
2025/12/08 17:03:54.563, 0, NVIDIA GeForce RTX 4090, 7444 MiB
2025/12/08 17:03:59.563, 0, NVIDIA GeForce RTX 4090, 7444 MiB
2025/12/08 17:04:04.564, 0, NVIDIA GeForce RTX 4090, 7444 MiB
2025/12/08 17:04:09.564, 0, NVIDIA GeForce RTX 4090, 10554 MiB
2025/12/08 17:04:14.564, 0, NVIDIA GeForce RTX 4090, 12569 MiB
2025/12/08 17:04:19.565, 0, NVIDIA GeForce RTX 4090, 13421 MiB
2025/12/08 17:04:24.565, 0, NVIDIA GeForce RTX 4090, 15795 MiB
2025/12/08 17:04:29.565, 0, NVIDIA GeForce RTX 4090, 15813 MiB
2025/12/08 17:04:34.566, 0, NVIDIA GeForce RTX 4090, 15802 MiB
2025/12/08 17:04:39.566, 0, NVIDIA GeForce RTX 4090, 15802 MiB
2025/12/08 17:04:44.566, 0, NVIDIA GeForce RTX 4090, 15802 MiB
2025/12/08 17:04:49.567, 0, NVIDIA GeForce RTX 4090, 15803 MiB
