timestamp, index, name, memory.used [MiB]
2025/12/08 17:05:15.472, 0, NVIDIA GeForce RTX 4090, 970 MiB
2025/12/08 17:05:20.472, 0, NVIDIA GeForce RTX 4090, 972 MiB
2025/12/08 17:05:25.473, 0, NVIDIA GeForce RTX 4090, 3353 MiB
2025/12/08 17:05:30.473, 0, NVIDIA GeForce RTX 4090, 3360 MiB
2025/12/08 17:05:35.473, 0, NVIDIA GeForce RTX 4090, 3353 MiB
2025/12/08 17:05:40.474, 0, NVIDIA GeForce RTX 4090, 3352 MiB
2025/12/08 17:05:45.474, 0, NVIDIA GeForce RTX 4090, 3383 MiB
2025/12/08 17:05:50.475, 0, NVIDIA GeForce RTX 4090, 5442 MiB
2025/12/08 17:05:55.475, 0, NVIDIA GeForce RTX 4090, 6737 MiB
2025/12/08 17:06:00.475, 0, NVIDIA GeForce RTX 4090, 6732 MiB
