timestamp, index, name, memory.used [MiB]
2025/12/08 17:12:35.985, 0, NVIDIA GeForce RTX 4090, 990 MiB
2025/12/08 17:12:40.986, 0, NVIDIA GeForce RTX 4090, 994 MiB
2025/12/08 17:12:45.986, 0, NVIDIA GeForce RTX 4090, 849 MiB
2025/12/08 17:12:50.987, 0, NVIDIA GeForce RTX 4090, 850 MiB
2025/12/08 17:12:55.988, 0, NVIDIA GeForce RTX 4090, 849 MiB
2025/12/08 17:13:00.989, 0, NVIDIA GeForce RTX 4090, 849 MiB
2025/12/08 17:13:05.990, 0, NVIDIA GeForce RTX 4090, 849 MiB
2025/12/08 17:13:10.990, 0, NVIDIA GeForce RTX 4090, 4251 MiB
2025/12/08 17:13:15.991, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:20.992, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:25.993, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:30.993, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:35.994, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:40.995, 0, NVIDIA GeForce RTX 4090, 6488 MiB
2025/12/08 17:13:45.995, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:13:50.996, 0, NVIDIA GeForce RTX 4090, 6479 MiB
2025/12/08 17:13:55.997, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:14:00.998, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:14:05.998, 0, NVIDIA GeForce RTX 4090, 6478 MiB
2025/12/08 17:14:10.999, 0, NVIDIA GeForce RTX 4090, 6464 MiB
2025/12/08 17:14:16.000, 0, NVIDIA GeForce RTX 4090, 6464 MiB
2025/12/08 17:14:21.001, 0, NVIDIA GeForce RTX 4090, 6464 MiB
2025/12/08 17:14:26.002, 0, NVIDIA GeForce RTX 4090, 6546 MiB
2025/12/08 17:14:31.002, 0, NVIDIA GeForce RTX 4090, 6586 MiB
2025/12/08 17:14:36.003, 0, NVIDIA GeForce RTX 4090, 6852 MiB
2025/12/08 17:14:41.004, 0, NVIDIA GeForce RTX 4090, 10737 MiB
2025/12/08 17:14:46.004, 0, NVIDIA GeForce RTX 4090, 10151 MiB
2025/12/08 17:14:51.005, 0, NVIDIA GeForce RTX 4090, 11472 MiB
2025/12/08 17:14:56.006, 0, NVIDIA GeForce RTX 4090, 11470 MiB
2025/12/08 17:15:01.006, 0, NVIDIA GeForce RTX 4090, 11872 MiB
2025/12/08 17:15:06.007, 0, NVIDIA GeForce RTX 4090, 11872 MiB
2025/12/08 17:15:11.008, 0, NVIDIA GeForce RTX 4090, 11872 MiB
2025/12/08 17:15:16.008, 0, NVIDIA GeForce RTX 4090, 11872 MiB
