timestamp, index, name, memory.used [MiB]
2025/12/08 17:06:31.037, 0, NVIDIA GeForce RTX 4090, 972 MiB
2025/12/08 17:06:36.038, 0, NVIDIA GeForce RTX 4090, 960 MiB
2025/12/08 17:06:41.038, 0, NVIDIA GeForce RTX 4090, 968 MiB
2025/12/08 17:06:46.039, 0, NVIDIA GeForce RTX 4090, 969 MiB
2025/12/08 17:06:51.039, 0, NVIDIA GeForce RTX 4090, 963 MiB
2025/12/08 17:06:56.039, 0, NVIDIA GeForce RTX 4090, 2999 MiB
2025/12/08 17:07:01.040, 0, NVIDIA GeForce RTX 4090, 6383 MiB
2025/12/08 17:07:06.040, 0, NVIDIA GeForce RTX 4090, 6383 MiB
2025/12/08 17:07:11.041, 0, NVIDIA GeForce RTX 4090, 6384 MiB
2025/12/08 17:07:16.041, 0, NVIDIA GeForce RTX 4090, 6400 MiB
2025/12/08 17:07:21.041, 0, NVIDIA GeForce RTX 4090, 6419 MiB
2025/12/08 17:07:26.042, 0, NVIDIA GeForce RTX 4090, 6394 MiB
2025/12/08 17:07:31.042, 0, NVIDIA GeForce RTX 4090, 6392 MiB
2025/12/08 17:07:36.042, 0, NVIDIA GeForce RTX 4090, 6393 MiB
2025/12/08 17:07:41.043, 0, NVIDIA GeForce RTX 4090, 6395 MiB
2025/12/08 17:07:46.043, 0, NVIDIA GeForce RTX 4090, 6392 MiB
2025/12/08 17:07:51.044, 0, NVIDIA GeForce RTX 4090, 6393 MiB
2025/12/08 17:07:56.044, 0, NVIDIA GeForce RTX 4090, 6394 MiB
2025/12/08 17:08:01.045, 0, NVIDIA GeForce RTX 4090, 6390 MiB
2025/12/08 17:08:06.045, 0, NVIDIA GeForce RTX 4090, 6392 MiB
2025/12/08 17:08:11.046, 0, NVIDIA GeForce RTX 4090, 6390 MiB
2025/12/08 17:08:16.046, 0, NVIDIA GeForce RTX 4090, 6576 MiB
2025/12/08 17:08:21.046, 0, NVIDIA GeForce RTX 4090, 10778 MiB
2025/12/08 17:08:26.047, 0, NVIDIA GeForce RTX 4090, 11322 MiB
2025/12/08 17:08:31.047, 0, NVIDIA GeForce RTX 4090, 12570 MiB
2025/12/08 17:08:36.047, 0, NVIDIA GeForce RTX 4090, 14172 MiB
2025/12/08 17:08:41.048, 0, NVIDIA GeForce RTX 4090, 14811 MiB
2025/12/08 17:08:46.048, 0, NVIDIA GeForce RTX 4090, 14819 MiB
2025/12/08 17:08:51.049, 0, NVIDIA GeForce RTX 4090, 14811 MiB
2025/12/08 17:08:56.049, 0, NVIDIA GeForce RTX 4090, 14804 MiB
2025/12/08 17:09:01.049, 0, NVIDIA GeForce RTX 4090, 14809 MiB
2025/12/08 17:09:06.050, 0, NVIDIA GeForce RTX 4090, 14809 MiB
